date,home,away,bet_outcome,actual_outcome,stake,odds,profit,result,rule,ev
2026-01-09 19:30:00,Eintracht Frankfurt,Borussia Dortmund,Away Win,Draw,1.0,2.7881201590068296,-1.0,Loss,Rule 1: Always bet away wins,1.1102230246251565e-16
2026-01-09 19:30:00,Eintracht Frankfurt,Borussia Dortmund,Draw,Draw,1.0,4.001528766590296,3.0015287665902957,Win,Rule 2: Close match (diff=3.3%),0.0
2026-01-10 13:00:00,Real Oviedo,Real Betis,Away Win,Draw,1.0,2.1306407481034255,-1.0,Loss,Rule 1: Always bet away wins,0.0
2026-01-10 14:30:00,Heidenheim,FC Köln,Draw,Draw,1.0,3.3245384611759743,2.3245384611759743,Win,Rule 2: Close match (diff=6.5%),0.0
2026-01-10 15:15:00,Villarreal,Deportivo Alavés,Home Win,Home Win,1.0,1.7013660167695481,0.7013660167695481,Win,Rule 3: High confidence home (58.8%),0.0
2026-01-10 17:30:00,Bayer 04 Leverkusen,VfB Stuttgart,Draw,Away Win,1.0,3.6831386773258807,-1.0,Loss,Rule 2: Close match (diff=7.1%),0.0
2026-01-11 14:00:00,Fiorentina,AC Milan,Away Win,Draw,1.0,2.2094223261416164,-1.0,Loss,Rule 1: Always bet away wins,0.0
2026-01-11 14:30:00,Borussia Mönchengladbach,FC Augsburg,Draw,Home Win,1.0,3.5010635604787805,-1.0,Loss,Rule 2: Close match (diff=12.6%),1.1102230246251565e-16
2026-01-11 15:15:00,Levante,Espanyol,Away Win,Draw,1.0,2.130847900119542,-1.0,Loss,Rule 1: Always bet away wins,0.0
2026-01-11 16:30:00,FC Bayern München,VfL Wolfsburg,Home Win,Home Win,1.0,1.5118917580623745,0.5118917580623745,Win,Rule 3: High confidence home (66.1%),5.551115123125783e-17
2026-01-11 17:00:00,Hellas Verona,Lazio,Away Win,Away Win,1.0,1.962786313825726,0.962786313825726,Win,Rule 1: Always bet away wins,0.0
2026-01-11 19:45:00,Inter,Napoli,Draw,Draw,1.0,3.3016921910016244,2.3016921910016244,Win,Rule 2: Close match (diff=2.2%),0.0
2026-01-12 19:45:00,Juventus,Cremonese,Home Win,Home Win,1.0,1.6316006711331672,0.6316006711331672,Win,Rule 3: High confidence home (61.3%),-5.551115123125783e-17
2026-01-12 20:00:00,Sevilla,Celta de Vigo,Away Win,Away Win,1.0,2.1850595921209255,1.1850595921209255,Win,Rule 1: Always bet away wins,0.0
