date,home_team,away_team,bet_on,probability,odds,actual_outcome,won,stake,payout,profit,p_home,p_draw,p_away
2025-10-23,Celta de Vigo,Nice,home,0.594,1.75,home,True,100,175.0,75.0,0.594,0.264,0.142
2025-10-24,AC Milan,Pisa,home,0.616,1.27,draw,False,100,0.0,-100.0,0.616,0.214,0.17
2025-10-26,Arsenal,Crystal Palace,home,0.6679999999999999,1.43,home,True,100,143.0,43.0,0.6679999999999999,0.204,0.128
2025-11-01,Atlético Madrid,Sevilla,home,0.581,1.33,home,True,100,133.0,33.0,0.581,0.217,0.20199999999999999
2025-11-01,Paris Saint Germain,Nice,home,0.688,1.08,home,True,100,108.0,8.0,0.688,0.18100000000000002,0.132
2025-11-01,FC Bayern München,Bayer 04 Leverkusen,home,0.568,1.26,home,True,100,126.0,26.0,0.568,0.212,0.22
2025-11-05,Benfica,Bayer 04 Leverkusen,home,0.611,1.98,away,False,100,0.0,-100.0,0.611,0.253,0.136
2025-11-07,Werder Bremen,VfL Wolfsburg,draw,0.354,3.65,home,False,100,0.0,-100.0,0.365,0.354,0.281
2025-11-08,TSG Hoffenheim,RB Leipzig,home,0.578,2.66,home,True,100,266.0,166.0,0.578,0.278,0.14400000000000002
2025-11-09,Genoa,Fiorentina,draw,0.35700000000000004,2.85,draw,True,100,285.0,185.0,0.41,0.35700000000000004,0.233
2025-11-22,FC Barcelona,Athletic Club,home,0.6579999999999999,1.4,home,True,100,140.0,40.0,0.6579999999999999,0.21,0.132
2025-11-22,Osasuna,Real Sociedad,draw,0.368,2.99,away,False,100,0.0,-100.0,0.32899999999999996,0.368,0.303
2025-11-25,Hull City,Ipswich Town,draw,0.368,3.75,away,False,100,0.0,-100.0,0.32899999999999996,0.368,0.303
2025-11-26,Paris Saint Germain,Tottenham Hotspur,home,0.58,1.4,home,True,100,140.0,40.0,0.58,0.217,0.20199999999999999
2025-11-29,TSG Hoffenheim,FC Augsburg,home,0.5670000000000001,1.65,home,True,100,165.0,65.0,0.5670000000000001,0.23399999999999999,0.19899999999999998
2025-11-30,Pisa,Inter,away,0.6559999999999999,1.25,away,True,100,125.0,25.0,0.14800000000000002,0.196,0.6559999999999999
2025-12-09,Inter,Liverpool,home,0.58,2.0,away,False,100,0.0,-100.0,0.58,0.217,0.20199999999999999
2025-12-10,Hull City,Wrexham,draw,0.373,3.47,home,False,100,0.0,-100.0,0.507,0.373,0.12
2025-12-10,Juventus,Pafos FC,home,0.58,1.18,home,True,100,118.0,18.0,0.58,0.217,0.20199999999999999
2025-12-11,FCSB,Feyenoord,home,0.597,4.82,home,True,100,482.0,382.0,0.597,0.287,0.115
2025-12-13,FC Barcelona,Osasuna,home,0.581,1.2,home,True,100,120.0,20.0,0.581,0.217,0.20199999999999999
2025-12-13,Arsenal,Wolverhampton Wanderers,home,0.616,1.11,home,True,100,111.00000000000001,11.000000000000014,0.616,0.214,0.17
2025-12-14,AC Milan,Sassuolo,home,0.608,1.47,draw,False,100,0.0,-100.0,0.608,0.19699999999999998,0.195
2025-12-14,Lens,Nice,home,0.643,1.56,home,True,100,156.0,56.0,0.643,0.19,0.166
2025-12-20,Ipswich Town,Sheffield Wednesday,home,0.627,1.2,home,True,100,120.0,20.0,0.627,0.23399999999999999,0.139
2025-12-27,Arsenal,Brighton & Hove Albion,home,0.599,1.33,home,True,100,133.0,33.0,0.599,0.20800000000000002,0.19399999999999998
2026-01-02,Rayo Vallecano,Getafe,home,0.578,2.05,draw,False,100,0.0,-100.0,0.578,0.278,0.14400000000000002
2026-01-04,Manchester City,Chelsea,home,0.5660000000000001,1.44,draw,False,100,0.0,-100.0,0.5660000000000001,0.213,0.221
2026-01-07,Manchester City,Brighton & Hove Albion,home,0.581,1.52,draw,False,100,0.0,-100.0,0.581,0.217,0.20199999999999999
2026-01-08,AC Milan,Genoa,home,0.58,1.4,draw,False,100,0.0,-100.0,0.58,0.217,0.20199999999999999
2026-01-10,Roma,Sassuolo,home,0.58,1.73,home,True,100,173.0,73.0,0.58,0.217,0.20199999999999999
2026-01-13,Borussia Dortmund,Werder Bremen,home,0.58,1.38,home,True,100,138.0,38.0,0.58,0.217,0.20199999999999999
2026-01-17,Borussia Dortmund,St. Pauli,home,0.6559999999999999,1.35,home,True,100,135.0,35.0,0.6559999999999999,0.21100000000000002,0.133
2026-01-17,Sunderland,Crystal Palace,home,0.647,2.4,home,True,100,240.0,140.0,0.647,0.242,0.111
2026-01-18,Bologna,Fiorentina,draw,0.368,3.23,away,False,100,0.0,-100.0,0.32899999999999996,0.368,0.303
